id,name,category,price,people,speed,note,location
1,丁一鸣花雕醉鸡,花雕醉鸡,30+,null,慢,null,安逸一楼
2,螺旋桨螺蛳粉,螺蛳粉,15,null,普通,null,龙城半岛
3,荣盛和鲜货火锅,火锅,30+,null,慢,null,龙湖龙悦台、龙城半岛
4,麦当劳,汉堡,25,null,快,null,龙湖龙悦台、石犀里
5,三两,料理,30＋,null,慢,null,园林路与学园路交汇 路口附近
6,纸飞机,料理,30＋,null,慢,null,西华大学附近
7,吉食小馆,甜品,30＋,null,快,null,龙城半岛
8,吉六六火腿天麻鸡,家常菜,30+,2+,普通,null,龙城半岛
9,飞盟宜宾烤五花,烧烤烤肉,50+,2+,普通,null,龙湖龙悦台
10,筷子米线,米线,25,null,快,null,龙城半岛
11,谯大厨辣椒炒肉,湘菜,40+,2+,普通,null,null
12,烧腊饭（地铁口对面）,盖饭,15,1+,快,null,null
13,李记私房菜,家常菜,30?,2?,普通,null,null
14,坡摊山野贵州烙锅,烧烤烤肉,60+,2+,慢,null,null
15,老蔡土干蒸,小吃,20-30,null,普通,null,石犀里
16,牛筋面,面条,15,4人以下,快,null,龙城半岛
17,烧腊饭,盖饭,15-20,4人以下,快,null,null
18,三顾冒菜,冒菜,25,1,快,null,石犀里
19,茱丽叶的厨房,料理,50+,2,普通,null,龙湖龙悦台
20,大米先生,盖饭,20,1+,快,null,双铁悦尚中心
21,慢搅粥底火锅,火锅,80+,3+,慢,null,犀浦爱琴海
22,幸福厨房,家常菜,15,1 2 3 4 5 6 7 8 9,快,null,蓝光BRC耍街
23,兰田宋记石锅鸡,家常菜,20+,2?,普通,null,安逸一楼
24,煎饼道,小吃,15,null,快,null,双铁悦尚中心
25,芭芬兔,火锅,30+,2+,慢,null,双铁石犀里
26,鸡毛店,川菜,40+,3+,普通,null,双铁石犀里
27,湘味下饭菜,湘菜,20+,2+,普通,排队的人超多,安逸一楼
28,宜宾燃面,面条,15+,null,普通,null,安逸一楼
29,二食堂,食堂,null,null,快,null,校内
30,一食堂,食堂,null,null,快,null,校内
31,三食堂,食堂,null,null,快,null,校内
32,云南过桥米线,米线,20,都行,慢,null,双铁石犀里
33,跷脚牛肉,川菜,10+,null,慢,null,安逸二楼
34,盐帮小厨,川菜,50,2以上,普通,null,双铁石犀里
35,马得福荤豆花,川菜,40,2以上,普通,出校门经过安逸后第一个十字路口右转，往里走。一个人吃额外收费；美团有团购,龙城半岛
36,肖蘸罐罐米线,米线,20,1+,普通,从零食有鸣旁边的路走进去,龙城半岛
37,袁记云饺,饺子,15-30,1+,普通,null,双铁悦尚中心
38,柳州螺蛳粉,螺蛳粉,15,1,普通,null,安逸一楼
39,好利来,面包,12+,1,快,null,双铁石犀里
40,星巴克,奶茶,30+,1,快,null,双铁石犀里
41,茶百道,奶茶,12+,1,快,null,安逸一楼、双铁悦尚中心
42,必胜客,披萨,20+,1+,普通,null,百伦广场店，距校区1.5km；犀浦万达店，距校区2.3km
43,宋记正宗重庆鸡公煲,鸡公煲,20+,2+,普通,null,安逸一楼
44,校园干锅,干锅,25+,2+,慢,null,安逸一楼
45,荣盛和自助,火锅,70,2+,慢,去晚了排队人数特多，收锅底费,犀浦夜市火锅街
46,子墨咖喱蛋包饭,面条,15,1,普通,null,安逸一楼
47,曾一铭家常面,面条,15,null,普通,null,安逸一楼
48,曹氏麻辣烫,麻辣,15,null,快,null,安逸一楼
49,曹氏麻辣烫,冒菜,15,null,快,null,安逸一楼
50,攀枝花羊肉米线,米线,15,null,普通,null,龙城半岛
51,小龙门,冒菜,20+,1+,普通,"牛油火锅味最好吃
",双铁石犀里
52,豪客来牛排,牛排,30+,1人起,慢,美团和大众点评先买券可以便宜点 帮写好评有送小吃或者饮料自选,双铁石犀里
53,八合里潮汕鲜牛肉火锅,火锅,30+,2+,慢,null,西宸天街
54,沸腾四格,火锅,30+,null,慢,吃就完了,双铁悦尚中心
55,干噎酸奶,甜品,12,1,快,null,null
56,到家张醪糟,面条,15～25,1?,快,null,双铁美食街
57,宜宾燃面,盖饭,16,1+,中,虽然叫宜宾燃面但是里面的盖饭也很好吃！！,安逸一楼
58,肯德基,汉堡,20+,1+,快,null,百伦广场店，距校区1.5km；犀浦万达店，距校区2.3km
59,阿亲家烤肉,烧烤烤肉,30+,null,慢,自助,双铁石犀里
60,四食堂,食堂,15,1,快,null,校内
61,南京灌汤包,包子馒头,10,1+,快,小笼包yyds,安逸一楼
